STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,total_crimes
a&nislands,TOTAL,2001,3,2,0,19,1,9,0,34
andhrapradesh,TOTAL,2001,871,765,420,3544,2271,5791,7,13669
arunachalpradesh,TOTAL,2001,33,55,0,78,3,11,0,180
assam,TOTAL,2001,817,1070,59,850,4,1248,0,4048
bihar,TOTAL,2001,888,518,859,562,21,1558,83,4489
chandigarh,TOTAL,2001,18,50,3,24,15,36,0,146
chhattisgarh,TOTAL,2001,959,171,70,1763,161,840,0,3964
d&nhaveli,TOTAL,2001,6,2,0,7,0,4,0,19
daman&diu,TOTAL,2001,0,3,0,0,0,4,0,7
delhi,Total District(s),2014,2096,4034,153,4322,1361,3173,0,15139
goa,TOTAL,2001,12,6,2,17,7,11,0,55
gujarat,TOTAL,2001,286,857,67,756,111,3667,0,5744
haryana,TOTAL,2001,398,297,285,478,401,1513,0,3372
himachalpradesh,TOTAL,2001,124,105,10,310,14,317,0,880
jammu&kashmir,TOTAL,2001,169,504,13,622,288,50,0,1646
jharkhand,TOTAL,2001,567,279,217,297,5,484,2,1851
karnataka,TOTAL,2001,293,271,220,1665,81,1755,0,4285
kerala,TOTAL,2001,562,97,27,1942,81,2561,0,5270
lakshadweep,TOTAL,2001,0,0,0,0,0,0,0,0
madhyapradesh,TOTAL,2001,2851,668,609,7063,751,2562,0,14504
maharashtra,TOTAL,2001,1302,611,308,2823,1120,6090,1,12255
manipur,TOTAL,2001,20,62,0,21,0,5,0,108
meghalaya,TOTAL,2001,26,11,0,25,0,4,0,66
mizoram,TOTAL,2001,52,1,0,52,0,16,3,124
nagaland,TOTAL,2001,17,6,0,6,0,0,0,29
odisha,TOTAL,2001,790,434,294,1655,458,1266,0,4897
puducherry,TOTAL,2001,9,3,1,35,27,3,0,78
punjab,TOTAL,2001,298,324,159,372,47,1128,0,2328
rajasthan,TOTAL,2001,1049,2165,376,2878,56,5532,1,12057
sikkim,TOTAL,2001,8,2,0,0,14,0,0,24
tamilnadu,TOTAL,2001,423,607,191,1773,1012,815,14,4835
telangana,Total District(s),2014,979,711,289,3188,1142,6369,0,12678
tripura,TOTAL,2001,102,35,16,58,0,227,0,438
uttarakhand,TOTAL,2001,74,126,56,103,84,301,0,744
uttarpradesh,TOTAL,2001,1958,2879,2211,2870,2575,7365,0,19858
westbengal,TOTAL,2001,709,695,265,954,48,3859,3,6533
